재료명,원문표기,소스수,허브등장수,CHP_ID,중문명,영문명,매핑방식,검토필요,검토사유,방제등장수,성(원문),성(한자),성(수치),성(평균수치),미(원문),미(한자),미(개수),귀경(원문),귀경(한자),귀경(개수),성미귀경_완전,방제사용,출처파일,excluded,exclusion_reason
생강,생강,5,48,CHP03683,生姜,Ginger,한자사전,N,,147,Warm,溫,1,1.0,Pungent,辛,1,Stomach|Spleen|Lung,胃|脾|肺,3,Y,Y,D7_CHP_Medicinal_properties.tsv,N,
레몬,lemon peel|레몬|레몬제스트|레몬즙,5,45,CHP02967,柠檬,Lemon,한자사전,N,,0,Cool,涼,-1,-1.0,Sweet|Sour,甘|酸,2,Stomach|Lung,胃|肺,2,Y,N,D7_CHP_Medicinal_properties.tsv,N,
마늘,마늘,4,42,CHP00557,大蒜,Allium sativum,한자사전,N,,19,Warm,溫,1,1.0,Pungent,辛,1,Large intestine|Stomach|Spleen|Lung,大腸|胃|脾|肺,4,Y,Y,D7_CHP_Medicinal_properties.tsv,N,
시나몬,시나몬,5,38,CHP03344,肉桂,Chinese Cinnamon,한자사전,N,,498,Hot,熱,2,2.0,Sweet|Pungent,甘|辛,2,Spleen|Liver|Kidney|Heart,脾|肝|腎|心,4,Y,Y,D7_CHP_Medicinal_properties.tsv,N,
당근,당근,5,33,CHP01517,胡萝卜,Carrot,한자사전,N,,0,Neutral,平,0,0.0,Sweet|Pungent,甘|辛,2,Spleen|Lung|Liver,脾|肺|肝,3,Y,N,D7_CHP_Medicinal_properties.tsv,N,
꿀,꿀,4,30,CHP05807,蜂蜜,Honey,한자사전,N,,67,Neutral,平,0,0.0,Sweet,甘,1,Large intestine|Spleen|Lung,大腸|脾|肺,3,Y,Y,D7_CHP_Medicinal_properties.tsv,N,
설탕,설탕|흑설탕,4,28,CHP06212,白糖,Saccharum officinarum,한자사전,N,,0,,,,,,,0,,,0,N,N,D7_CHP_Medicinal_properties.tsv,N,
닭고기,닭가슴살|닭고기|닭고기(구이),4,27,CHP05882,鸡肉,Chicken Meat,한자사전,N,,1,Warm,溫,1,1.0,Sweet,甘,1,Spleen|Stomach,脾|胃,2,Y,Y,D7_CHP_Medicinal_properties.tsv,N,
오렌지,orange zest|오렌지|오렌지껍질|오렌지제스트,5,27,CHP02035,橘子,Mandarin Orange,한자사전,N,,0,Neutral,平,0,0.0,Sweet|Sour,甘|酸,2,Stomach|Lung,胃|肺,2,Y,N,D7_CHP_Medicinal_properties.tsv,N,
고수,고수|고수(코리앤더)|고수씨|고수씨드,5,26,CHP04901,芫荽,Coriandrum sativum,한자사전,N,,7,Warm,溫,1,1.0,Pungent,辛,1,Stomach|Lung,胃|肺,2,Y,Y,D7_CHP_Medicinal_properties.tsv,N,
사과,cooking apple|사과,5,24,CHP03113,苹果,Malus pumila,한자사전,N,,2,Cool,涼,-1,-1.0,Sweet|Sour,甘|酸,2,,,0,N,Y,D7_CHP_Medicinal_properties.tsv,N,
양파,양파,4,23,CHP04992,洋葱,Allium cepa,한자사전,N,,1,Warm,溫,1,1.0,Sweet|Pungent,甘|辛,2,Liver,肝,1,Y,Y,D7_CHP_Medicinal_properties.tsv,N,
넛맥,넛맥|육두구,5,23,CHP03342,肉豆蔻,Myristica fragrans,한자사전,N,,145,Warm,溫,1,1.0,Pungent,辛,1,Large intestine|Stomach|Spleen,大腸|胃|脾,3,Y,Y,D7_CHP_Medicinal_properties.tsv,N,
후추,백후추|통후추|후추,5,21,CHP01515,胡椒,Piper nigrum,한자사전,N,,46,Hot,熱,2,2.0,Pungent,辛,1,Large intestine|Stomach,大腸|胃,2,Y,Y,D7_CHP_Medicinal_properties.tsv,N,
정향,정향,5,19,CHP00779,丁香,Clove,한자사전,N,,333,Warm,溫,1,1.0,Pungent,辛,1,Stomach|Spleen|Kidney,胃|脾|腎,3,Y,Y,D7_CHP_Medicinal_properties.tsv,N,
간장,간장,4,19,CHP00375,豉汁,Soybean,한자사전,Y,"豉汁=두시즙 — 현대 간장과 다름, 방제 0회",0,Warm,溫,1,1.0,Sweet,甘,1,Spleen|Stomach,脾|胃,2,Y,N,D7_CHP_Medicinal_properties.tsv,N,
바질,바질,5,19,CHP02502,罗勒,Ocimum basilicum,한자사전,N,,3,Warm,溫,1,1.0,Sweet|Pungent,甘|辛,2,Large intestine|Stomach|Spleen|Lung,大腸|胃|脾|肺,4,Y,Y,D7_CHP_Medicinal_properties.tsv,N,
카다멈,cardamom|카다멈,5,18,CHP00844,豆蔻,Elettaria cardamomum,한자사전,N,,204,Warm,溫,1,1.0,Pungent,辛,1,Stomach|Spleen|Lung,胃|脾|肺,3,Y,Y,D7_CHP_Medicinal_properties.tsv,N,
버터,버터,3,17,CHP06016,酥油,Cattle Oil,한자사전,Y,酥油=Cattle Oil(수유) — 유지방이나 버터와 정확히 동일하진 않음,0,Cold,寒,-2,-2.0,Sweet,甘,1,,,0,N,N,D7_CHP_Medicinal_properties.tsv,N,
로즈마리,로즈마리,5,17,CHP02781,迷迭香,Salvia rosmarinus,한자사전,N,,0,Warm,溫,1,1.0,Pungent,辛,1,,,0,N,N,D7_CHP_Medicinal_properties.tsv,N,
고추,고추|고춧가루,5,17,CHP02172,辣椒,Capsicum annuum,한자사전,N,,31,Hot,熱,2,2.0,Pungent,辛,1,Stomach|Spleen,胃|脾,2,Y,Y,D7_CHP_Medicinal_properties.tsv,N,
바닐라,바닐라,4,16,CHP04551,香草兰,Vanilla planifolia,한자사전,Y,香草兰=Vanilla planifolia 정확하나 방제 1회로 사실상 미사용,1,Cool,涼,-1,-1.0,Bitter,苦,1,Stomach|Heart,胃|心,2,Y,Y,D7_CHP_Medicinal_properties.tsv,N,
올리브오일,올리브오일,4,16,CHP01138,橄榄,Chinese Olive,한자사전,N,,1,Neutral,平,0,0.0,Sweet|Sour|Astringent,甘|酸|澀,3,Stomach|Lung,胃|肺,2,Y,Y,D7_CHP_Medicinal_properties.tsv,N,
셀러리,셀러리|셀러리악(뿌리셀러리),5,15,CHP01350,旱芹,Apium graveolens,한자사전,N,,0,Cool,涼,-1,-1.0,Sweet|Bitter,甘|苦,2,,,0,N,N,D7_CHP_Medicinal_properties.tsv,N,
대파,대파|리크(대파)|쪽파,4,15,CHP00458,葱白,Welsh Onion,한자사전,N,,1,Warm,溫,1,1.0,Pungent,辛,1,Stomach|Lung,胃|肺,2,Y,Y,D7_CHP_Medicinal_properties.tsv,N,
코코넛밀크,coconut milk|코코넛밀크,4,15,CHP05008,椰子浆,Coconut,한자사전,N,,1,Cool,涼,-1,-1.0,Sweet,甘,1,,,0,N,Y,D7_CHP_Medicinal_properties.tsv,N,
민트,민트|스피어민트|콘민트|페퍼민트,4,15,CHP00216,薄荷,Mentha x piperita,한자사전,N,,846,Cool,涼,-1,-1.0,Pungent,辛,1,Lung|Liver,肺|肝,2,Y,Y,D7_CHP_Medicinal_properties.tsv,N,
팔각,팔각,4,15,CHP00030,八角茴香,Illicium verum,한자사전,N,,39,Warm,溫,1,1.0,Sweet|Pungent,甘|辛,2,Stomach|Spleen|Liver|Kidney,胃|脾|肝|腎,4,Y,Y,D7_CHP_Medicinal_properties.tsv,N,
토마토,토마토,4,14,CHP00989,番茄,Solanum lycopersicum,한자사전,N,,0,Cold,寒,-2,-2.0,Sweet|Sour,甘|酸,2,Stomach|Lung|Liver,胃|肺|肝,3,Y,N,D7_CHP_Medicinal_properties.tsv,N,
호두,호두,4,13,CHP01367,核桃仁,English Walnut,한자사전,N,,48,Warm,溫,1,1.0,Sweet,甘,1,Large intestine|Lung|Kidney,大腸|肺|腎,3,Y,Y,D7_CHP_Medicinal_properties.tsv,N,
월계수,월계수|월계수잎,4,13,CHP05320,月桂叶,Bay Leaf,한자사전,N,,0,Warm,溫,1,1.0,Pungent,辛,1,,,0,N,N,D7_CHP_Medicinal_properties.tsv,N,
배,배,3,13,CHP02265,梨子,Pyrus pyrifolia,한자사전,N,,8,Cool,涼,-1,-1.0,Sweet|Sour,甘|酸,2,Stomach|Lung,胃|肺,2,Y,Y,D7_CHP_Medicinal_properties.tsv,N,
딜,딜,4,12,CHP03766,莳萝,Anethum graveolens,한자사전,N,,0,Warm,溫,1,1.0,Pungent,辛,1,,,0,N,N,D7_CHP_Medicinal_properties.tsv,N,
타임,타임,5,12,CHP00173,百里香,Thyme Herb,한자사전,N,,0,Warm,溫,1,1.0,Pungent,辛,1,,,0,N,N,D7_CHP_Medicinal_properties.tsv,N,
